,title,price,year,link,brand,age
34,5 string fender banjo/hardcase,1200,,https://charlottesville.craigslist.org/msg/d/troy-string-fender-banjo-hardcase/7815690360.html,missing,
35,fender fm 25r 1x10 amp spring reverb,160,,https://charlottesville.craigslist.org/msg/d/glen-allen-fender-fm-25r-1x10-amp/7819063716.html,missing,
36,blues driver,25,,https://charlottesville.craigslist.org/msg/d/madison-blues-driver/7823335618.html,missing,
37,presonus audiobox usb 96 anniversary ed.,35,,https://charlottesville.craigslist.org/msg/d/orange-presonus-audiobox-usb-96/7823170555.html,missing,
38,1982 ibanez cs9 stereo chorus with leslie mod,175,1982.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1982-ibanez-cs9-stereo/7823095984.html,ibanez,43.0
39,restored 1977 v2 electro harmonix foot-controlled bad stone phaser,650,1977.0,https://charlottesville.craigslist.org/msg/d/charlottesville-restored-1977-v2/7823095929.html,missing,48.0
40,"1972 maestro sireko tape echo machine, restored tape cart, echoplex",650,1972.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1972-maestro-sireko/7823097051.html,missing,53.0
41,"1975 foxx fuzz & wa pedal, tone machine octave fuzz",400,1975.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1975-foxx-fuzz-wa-pedal/7823097008.html,missing,50.0
42,fishman aura ast acoustic imaging processor,65,,https://charlottesville.craigslist.org/msg/d/charlottesville-fishman-aura-ast/7823096414.html,missing,
43,1976 v2 electro harmonix small stone phase shifter,155,1976.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1976-v2-electro/7823096316.html,missing,49.0
44,early 70's univox u-1095 super-fuzz,850,,https://charlottesville.craigslist.org/msg/d/charlottesville-early-70s-univox-1095/7823096278.html,missing,
45,"1978 mxr mx-102 dyna comp, 9v jack",125,1978.0,https://charlottesville.craigslist.org/msg/d/charlottesville-1978-mxr-mx-102-dyna/7823096242.html,missing,47.0
46,super rare 1981 v6 electric mistress flanger,575,1981.0,https://charlottesville.craigslist.org/msg/d/charlottesville-super-rare-1981-v6/7823096023.html,missing,44.0
47,guitar pedal repair and restoration,0,,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-pedal-repair-and/7823095887.html,missing,
48,k&m bassoon / bass clarinet stand,75,,https://charlottesville.craigslist.org/msg/d/charlottesville-km-bassoon-bass/7822962463.html,missing,
49,ibanez sa260 flametop,275,,https://charlottesville.craigslist.org/msg/d/charlottesville-ibanez-sa260-flametop/7822879315.html,ibanez,
50,jesus will someone buy that martin?,2800,,https://charlottesville.craigslist.org/msg/d/scottsville-jesus-will-someone-buy-that/7822869478.html,missing,
51,2007 gibson sg faded-usa duncan pups-new harness,825,2007.0,https://charlottesville.craigslist.org/msg/d/charlottesville-2007-gibson-sg-faded/7822685641.html,gibson,18.0
52,epiphone's newest inspired by gibson custom les paul custom,900,,https://charlottesville.craigslist.org/msg/d/staunton-epiphones-newest-inspired-by/7815126638.html,gibson,
53,skb ps-25 pedalboard with carrying case,75,,https://charlottesville.craigslist.org/msg/d/charlottesville-skb-ps-25-pedalboard/7822119553.html,missing,
54,taylor 614ce,1900,,https://charlottesville.craigslist.org/msg/d/madison-taylor-614ce/7822110489.html,taylor,
55,vox ac15hw1x w/ alnico blue,1300,,https://charlottesville.craigslist.org/msg/d/crozet-vox-ac15hw1x-alnico-blue/7814949635.html,missing,
56,looking for broken or unwanted musical instruments,1,,https://charlottesville.craigslist.org/msg/d/crozet-looking-for-broken-or-unwanted/7816908328.html,missing,
57,ios/usb microphone,75,,https://charlottesville.craigslist.org/msg/d/quinque-ios-usb-microphone/7821913337.html,missing,
58,ludwig 14 x 10 - 6 ply b/o badge 70/80s white marine pearl tom,175,,https://charlottesville.craigslist.org/msg/d/charlottesville-ludwig-14-ply-o-badge/7821690973.html,missing,
59,used case for fender precision bass,50,,https://charlottesville.craigslist.org/msg/d/waynesboro-used-case-for-fender/7821630177.html,missing,
60,jamman looper xt and sdrum percussion w jamsync - tons of fun with you,225,,https://charlottesville.craigslist.org/msg/d/crozet-jamman-looper-xt-and-sdrum/7821590070.html,missing,
61,blackstar id:core stereo100 guitar amp w ftswitch for built in looper,160,,https://charlottesville.craigslist.org/msg/d/crozet-blackstar-idcore-stereo100/7814612980.html,missing,
62,"drum hardware pieces, good condition",50,,https://charlottesville.craigslist.org/msg/d/drum-hardware-pieces-good-condition/7821447095.html,missing,
63,toca djembe,110,,https://charlottesville.craigslist.org/msg/d/crozet-toca-djembe/7821300494.html,missing,
64,walrus audio fathom reverb pedal,165,,https://charlottesville.craigslist.org/msg/d/waynesboro-walrus-audio-fathom-reverb/7821221291.html,missing,
65,peavey dm 118 subs (pair),1000,,https://charlottesville.craigslist.org/msg/d/quinque-peavey-dm-118-subs-pair/7821113200.html,missing,
66,peavey sp 115m floor monitors (4),600,,https://charlottesville.craigslist.org/msg/d/quinque-peavey-sp-115m-floor-monitors/7821112939.html,missing,
67,peavey cs 800x4 power amp,300,,https://charlottesville.craigslist.org/msg/d/quinque-peavey-cs-800x4-power-amp/7821111949.html,missing,
68,"fender ""70th anniversary esquire"" guitar w/case! minty, hang tags!",1695,,https://charlottesville.craigslist.org/msg/d/charlottesville-fender-70th-anniversary/7813357235.html,missing,
69,acoustic guitar,65,,https://charlottesville.craigslist.org/msg/d/charlottesville-acoustic-guitar/7821004908.html,missing,
70,tonette musical instrument,5,,https://charlottesville.craigslist.org/msg/d/palmyra-tonette-musical-instrument/7820647914.html,missing,
71,new kurt cobain jagstang,650,,https://charlottesville.craigslist.org/msg/d/charlottesville-new-kurt-cobain-jagstang/7820406327.html,missing,
72,new small ukulele case,15,,https://charlottesville.craigslist.org/msg/d/palmyra-new-small-ukulele-case/7820358169.html,missing,
73,gator ukulele case,25,,https://charlottesville.craigslist.org/msg/d/palmyra-gator-ukulele-case/7820357498.html,missing,
74,kahuna ukulele case,20,,https://charlottesville.craigslist.org/msg/d/palmyra-kahuna-ukulele-case/7820355273.html,missing,
75,ukulele case pineapple design,5,,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-pineapple-design/7820351775.html,missing,
76,ukulele case with watermelon design,5,,https://charlottesville.craigslist.org/msg/d/palmyra-ukulele-case-with-watermelon/7820351257.html,missing,
77,maestro by gibson guitar,50,,https://charlottesville.craigslist.org/msg/d/charlottesville-maestro-by-gibson-guitar/7820265354.html,gibson,
78,martin sigma dr2 guitar,400,,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-sigma-dr2-guitar/7818406541.html,martin,
79,cymbals,200,,https://charlottesville.craigslist.org/msg/d/free-union-cymbals/7820197363.html,missing,
80,yamaha claviniva electric piano,150,,https://charlottesville.craigslist.org/msg/d/charlottesville-yamaha-claviniva/7819920855.html,yamaha,
81,taylor 214ce deluxe acousticelectric w/ hard case,950,,https://charlottesville.craigslist.org/msg/d/charlottesville-taylor-214ce-deluxe/7819452429.html,taylor,
82,original solo dallas schaffer replica pedal,299,,https://charlottesville.craigslist.org/msg/d/amherst-original-solo-dallas-schaffer/7819391995.html,missing,
83,1994 guild acoustic guitar d4-nt,700,1994.0,https://charlottesville.craigslist.org/msg/d/nellysford-1994-guild-acoustic-guitar/7812289290.html,missing,31.0
84,used kentucky km-675-sunburst mandolin - great instrument!,675,,https://charlottesville.craigslist.org/msg/d/nellysford-used-kentucky-km-675/7812296257.html,missing,
85,white boss katana mini,100,,https://charlottesville.craigslist.org/msg/d/charlottesville-white-boss-katana-mini/7819139898.html,missing,
86,3rd gen rode nt1-a large diaphram studio condensor microphone,260,,https://charlottesville.craigslist.org/msg/d/charlottesville-3rd-gen-rode-nt1-large/7819049312.html,missing,
87,freidman ir-d mint,399,,https://charlottesville.craigslist.org/msg/d/amherst-freidman-ir-mint/7818893147.html,missing,
88,christmas stocking with guitar or french horn new,8,,https://charlottesville.craigslist.org/msg/d/earlysville-christmas-stocking-with/7811469894.html,missing,
89,electro harmonix memory toy,85,,https://charlottesville.craigslist.org/msg/d/charlottesville-electro-harmonix-memory/7818677756.html,missing,
90,palmer pocket amp,100,,https://charlottesville.craigslist.org/msg/d/charlottesville-palmer-pocket-amp/7818678478.html,missing,
91,tc electronic bodyrez (mint condition),100,,https://charlottesville.craigslist.org/msg/d/charlottesville-tc-electronic-bodyrez/7818677121.html,missing,
92,(2) behringer fcb1010 midi (5pin) foot controllers,125,,https://charlottesville.craigslist.org/msg/d/charlottesville-behringer-fcb1010-midi/7818467520.html,missing,
93,bow re-hair,50,,https://charlottesville.craigslist.org/msg/d/bow-re-hair/7818465196.html,missing,
94,fender frontman 15r amp and dinosaur 15w bass amp,50,,https://charlottesville.craigslist.org/msg/d/etlan-fender-frontman-15r-amp-and/7818437243.html,missing,
95,custom hardtail stratocaster/black,750,,https://charlottesville.craigslist.org/msg/d/charlottesville-custom-hardtail/7818405199.html,missing,
96,custom thinline telecaster,750,,https://charlottesville.craigslist.org/msg/d/charlottesville-custom-thinline/7818405166.html,missing,
97,guitar rescue,1,,https://charlottesville.craigslist.org/msg/d/charlottesville-guitar-rescue/7818405054.html,missing,
98,8-channel digital audio interface,150,,https://charlottesville.craigslist.org/msg/d/charlottesville-channel-digital-audio/7818263737.html,missing,
99,"musafe digital piano, new",100,,https://charlottesville.craigslist.org/msg/d/quinque-musafe-digital-piano-new/7818101523.html,missing,
100,wampler pinnacle standard distortion pedal,99,,https://charlottesville.craigslist.org/msg/d/amherst-wampler-pinnacle-standard/7817940558.html,missing,
101,little martin guitar,300,,https://charlottesville.craigslist.org/msg/d/waynesboro-little-martin-guitar/7817844994.html,martin,
102,jean baptise trumpet,100,,https://charlottesville.craigslist.org/msg/d/palmyra-jean-baptise-trumpet/7817693248.html,missing,
103,fender telecaster,829,,https://charlottesville.craigslist.org/msg/d/amherst-fender-telecaster/7817462468.html,missing,
104,fender highway one stratocaster,1100,,https://charlottesville.craigslist.org/msg/d/charlottesville-fender-highway-one/7817460343.html,missing,
105,gold tone tenor resonater uke,250,,https://charlottesville.craigslist.org/msg/d/stanardsville-gold-tone-tenor-resonater/7817302217.html,missing,
106,dw adjustable bass drum riser,175,,https://charlottesville.craigslist.org/msg/d/free-union-dw-adjustable-bass-drum-riser/7817281829.html,missing,
107,1976 fender deluxe reverb amp,2500,1976.0,https://charlottesville.craigslist.org/msg/d/montpelier-station-1976-fender-deluxe/7809897882.html,missing,49.0
108,1986 fender squire stratocaster guitar,575,1986.0,https://charlottesville.craigslist.org/msg/d/montpelier-station-1986-fender-squire/7809921721.html,missing,39.0
109,mackie 32.4 premium 32 channel mixer,795,,https://charlottesville.craigslist.org/msg/d/charlottesville-mackie-324-premium-32/7814520878.html,missing,
110,studio acoustic egg crate foam,400,,https://charlottesville.craigslist.org/msg/d/charlottesville-studio-acoustic-egg/7814520948.html,missing,
111,the eliminator pedal,75,,https://charlottesville.craigslist.org/msg/d/charlottesville-the-eliminator-pedal/7816539252.html,missing,
112,2009 epiphone sheraton ii natural,500,2009.0,https://charlottesville.craigslist.org/msg/d/stanardsville-2009-epiphone-sheraton-ii/7816229122.html,epiphone,16.0
113,gibson usa les paul and es335 promotional banner,40,,https://charlottesville.craigslist.org/msg/d/charlottesville-gibson-usa-les-paul-and/7808885160.html,gibson,
114,bass clarinet - really great sound!,800,,https://charlottesville.craigslist.org/msg/d/charlottesville-bass-clarinet-really/7809895271.html,missing,
115,build your guitar rock and roll library!,10,,https://charlottesville.craigslist.org/msg/d/charlottesville-build-your-guitar-rock/7807151315.html,missing,
116,2003 american stratocaster,900,2003.0,https://charlottesville.craigslist.org/msg/d/white-hall-2003-american-stratocaster/7814734103.html,missing,22.0
117,aria pro 2 fullerton,90,,https://charlottesville.craigslist.org/msg/d/stuarts-draft-aria-pro-fullerton/7814421059.html,missing,
118,tama true touch 4pc training kit and 2pc hardware kit,400,,https://charlottesville.craigslist.org/msg/d/crozet-tama-true-touch-4pc-training-kit/7814321461.html,missing,
119,piano tuning & repair,175,,https://charlottesville.craigslist.org/msg/d/charlottesville-piano-tuning-repair/7807542074.html,missing,
120,beautiful usa fender hm heavy metal strat ice blue,1250,,https://charlottesville.craigslist.org/msg/d/montpelier-station-beautiful-usa-fender/7808100020.html,missing,
121,martin c630 molded case,195,,https://charlottesville.craigslist.org/msg/d/charlottesville-martin-c630-molded-case/7805667581.html,martin,
122,left hand deering sierra mahogany banjo,1800,,https://charlottesville.craigslist.org/msg/d/bowling-green-left-hand-deering-sierra/7805959372.html,missing,
123,"roto toms 6""/8""/10""",150,,https://charlottesville.craigslist.org/msg/d/culpeper-roto-toms/7811371550.html,missing,
124,fender blues jr. tweed amplifier,500,,https://charlottesville.craigslist.org/msg/d/charlottesville-fender-blues-jr-tweed/7805823028.html,missing,
125,ampeg svt iii pro,400,,https://charlottesville.craigslist.org/msg/d/scottsville-ampeg-svt-iii-pro/7812491205.html,missing,
